#stages0 = writecat:docker:DR9.6.7b
#stages1 = writecat:docker:DR9.6.7
#stages2 = writecat:docker:DR9.6.4
#stages3 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
#stages4 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.7b
#stages5 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages6 = srcs:docker:DR9.6.4 writecat:docker:DR9.6.7b
#stages7 = writecat:docker:DR9.6.5b
#stages8 = writecat:docker:DR9.6.5
#stages9 = writecat:docker:DR9.6.8
#stages10 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.6
0591m290 file0_rs0_skip0 stages0
0589m290 file0_rs0_skip0 stages0
0586m290 file0_rs0_skip0 stages0
0602m287 file0_rs0_skip0 stages0
0534m277 file0_rs0_skip0 stages1
2028p257 file0_rs0_skip0 stages2
0585m292 file0_rs0_skip0 stages0
0594m290 file0_rs0_skip0 stages0
0520m295 file0_rs0_skip0 stages0
0591m300 file0_rs0_skip0 stages0
0590m297 file0_rs0_skip0 stages0
1978p292 file0_rs0_skip0 stages2
0225m237 file0_rs0_skip0 stages3
0523m285 file0_rs0_skip0 stages0
2050p270 file0_rs0_skip0 stages2
2039p255 file0_rs0_skip0 stages2
0526m285 file0_rs0_skip0 stages0
1997p315 file0_rs0_skip0 stages2
0599m282 file0_rs0_skip0 stages0
0588m300 file0_rs0_skip0 stages0
1971p285 file0_rs0_skip0 stages2
0585m277 file0_rs0_skip0 stages1
2017p255 file0_rs0_skip0 stages2
0277m252 file0_rs0_skip0 stages3
0252m190 file0_rs0_skip0 stages1
2036p257 file0_rs0_skip0 stages2
0280m232 file0_rs0_skip0 stages4
2192p312 file0_rs0_skip0 stages2
0369m257 file0_rs0_skip0 stages4
1987p295 file0_rs0_skip0 stages2
1939p300 file0_rs0_skip0 stages2
1969p252 file0_rs0_skip0 stages2
2192p320 file0_rs0_skip0 stages2
0272m232 file0_rs0_skip0 stages3
0183m192 file0_rs0_skip0 stages4
0277m255 file0_rs0_skip0 stages5
2040p322 file0_rs0_skip0 stages2
1990p225 file0_rs0_skip0 stages2
1786p310 file0_rs0_skip0 stages2
0269m267 file0_rs0_skip0 stages3
0293m152 file0_rs0_skip0 stages3
0048m260 file0_rs0_skip0 stages5
1821p040 file0_rs0_skip0 stages2
1686p170 file0_rs0_skip0 stages2
1889p287 file0_rs0_skip0 stages2
0184m177 file0_rs0_skip0 stages4
0341m212 file0_rs0_skip0 stages1
0097m245 file0_rs0_skip0 stages4
2223p310 file0_rs0_skip0 stages2
1692p300 file0_rs0_skip0 stages2
1824p317 file0_rs0_skip0 stages2
1662p145 file0_rs0_skip0 stages2
1714p270 file0_rs0_skip0 stages2
2052p170 file0_rs0_skip0 stages2
1888p310 file0_rs0_skip0 stages2
1433p290 file0_rs0_skip0 stages2
1793p087 file0_rs0_skip0 stages2
2209p135 file0_rs0_skip0 stages2
1423p317 file0_rs0_skip0 stages2
1518p035 file0_rs0_skip0 stages2
1746p305 file0_rs0_skip0 stages2
1493p027 file0_rs0_skip0 stages2
1933p100 file0_rs0_skip0 stages2
0389m230 file0_rs0_skip0 stages4
1505p315 file0_rs0_skip0 stages2
1681p117 file0_rs0_skip0 stages2
1941m042 file0_rs0_skip0 stages2
0158p042 file0_rs0_skip0 stages4
1758m035 file0_rs0_skip0 stages2
1664p187 file0_rs0_skip0 stages2
1570p277 file0_rs0_skip0 stages2
1991p100 file0_rs0_skip0 stages2
1622p282 file0_rs0_skip0 stages2
2067p185 file0_rs0_skip0 stages2
1956p017 file0_rs0_skip0 stages2
2194p162 file0_rs0_skip0 stages2
1411p302 file0_rs0_skip0 stages2
0386m152 file0_rs0_skip0 stages4
1621p095 file0_rs0_skip0 stages2
2074p115 file0_rs0_skip0 stages2
0354m040 file0_rs0_skip0 stages1
3559p155 file0_rs0_skip0 stages1
0392m215 file0_rs0_skip0 stages4
1305p187 file0_rs0_skip0 stages2
0389m135 file0_rs0_skip0 stages4
1633p322 file0_rs0_skip0 stages2
0396m177 file0_rs0_skip0 stages4
1307p160 file0_rs0_skip0 stages2
1746m025 file0_rs0_skip0 stages6
2091p132 file0_rs0_skip0 stages2
1488p195 file0_rs0_skip0 stages2
2063p075 file0_rs0_skip0 stages2
0083m022 file0_rs0_skip0 stages4
1489p122 file0_rs0_skip0 stages2
2183p230 file0_rs0_skip0 stages2
1291p030 file0_rs0_skip0 stages3
1442p132 file0_rs0_skip0 stages2
0680m210 file0_rs0_skip0 stages1
2138p075 file0_rs0_skip0 stages2
3561m050 file0_rs0_skip0 stages1
0313m010 file0_rs0_skip0 stages1
3545m075 file0_rs0_skip0 stages1
1363p280 file0_rs0_skip0 stages2
1285p155 file0_rs0_skip0 stages1
1284p077 file0_rs0_skip0 stages3
0012p260 file0_rs0_skip0 stages7
1639m077 file0_rs0_skip0 stages2
2111p185 file0_rs0_skip0 stages2
1734p150 file0_rs0_skip0 stages2
1578p175 file0_rs0_skip0 stages2
3524m127 file0_rs0_skip0 stages1
1455m077 file0_rs0_skip0 stages2
0161p057 file0_rs0_skip0 stages1
1829m082 file0_rs0_skip0 stages2
1541p277 file0_rs0_skip0 stages2
1492p242 file0_rs0_skip0 stages2
1508m042 file0_rs0_skip0 stages2
1388m035 file0_rs0_skip0 stages2
1433p192 file0_rs0_skip0 stages2
1378m025 file0_rs0_skip0 stages2
2161p027 file0_rs0_skip0 stages2
0137p207 file0_rs0_skip0 stages7
1848m055 file0_rs0_skip0 stages2
1502m055 file0_rs0_skip0 stages2
0084p210 file0_rs0_skip0 stages5
3477m142 file0_rs0_skip0 stages1
0744m035 file0_rs0_skip0 stages8
0003m085 file0_rs0_skip0 stages8
3577p172 file0_rs0_skip0 stages1
3151m122 file0_rs0_skip0 stages3
3271m102 file0_rs0_skip0 stages9
2231p062 file0_rs0_skip0 stages2
0199m045 file0_rs0_skip0 stages1
1728m060 file0_rs0_skip0 stages2
3472m087 file0_rs0_skip0 stages1
2406p280 file0_rs0_skip0 stages8
0706m007 file0_rs0_skip0 stages1
0016m015 file0_rs0_skip0 stages3
1284m080 file0_rs0_skip0 stages3
0505m150 file0_rs0_skip0 stages1
2299p242 file0_rs0_skip0 stages2
3593p265 file0_rs0_skip0 stages1
2366p097 file0_rs0_skip0 stages5
0391p032 file0_rs0_skip0 stages4
2288p097 file0_rs0_skip0 stages2
1697p080 file0_rs0_skip0 stages2
1481p030 file0_rs0_skip0 stages2
0041m087 file0_rs0_skip0 stages5
1738m060 file0_rs0_skip0 stages2
1430p207 file0_rs0_skip0 stages2
2096m005 file0_rs0_skip0 stages2
1590m047 file0_rs0_skip0 stages2
2391p145 file0_rs0_skip0 stages3
1866m032 file0_rs0_skip0 stages2
0792m200 file0_rs0_skip0 stages3
1623m017 file0_rs0_skip0 stages2
1184p260 file0_rs0_skip0 stages8
2473p220 file0_rs0_skip0 stages1
3498m005 file0_rs0_skip0 stages1
0160p247 file0_rs0_skip0 stages7
3339p175 file0_rs0_skip0 stages1
3331m115 file0_rs0_skip0 stages3
0085p275 file0_rs0_skip0 stages8
2432p097 file0_rs0_skip0 stages1
2704p307 file0_rs0_skip0 stages3
3512p172 file0_rs0_skip0 stages1
1539p252 file0_rs0_skip0 stages2
3416p127 file0_rs0_skip0 stages1
2139m085 file0_rs0_skip0 stages2
0597m197 file0_rs0_skip0 stages1
3481p107 file0_rs0_skip0 stages1
2221p237 file0_rs0_skip0 stages2
3300p042 file0_rs0_skip0 stages5
2343p235 file0_rs0_skip0 stages8
3438m047 file0_rs0_skip0 stages1
2390p200 file0_rs0_skip0 stages8
1112p287 file0_rs0_skip0 stages8
0193p225 file0_rs0_skip0 stages7
3459p305 file0_rs0_skip0 stages9
1308p067 file0_rs0_skip0 stages2
1165p197 file0_rs0_skip0 stages5
2198p005 file0_rs0_skip0 stages2
3312p095 file0_rs0_skip0 stages5
0186p190 file0_rs0_skip0 stages1
2558p255 file0_rs0_skip0 stages3
3513p240 file0_rs0_skip0 stages1
2611p237 file0_rs0_skip0 stages3
0263p310 file0_rs0_skip0 stages7
3376m030 file0_rs0_skip0 stages8
0613m087 file0_rs0_skip0 stages1
1660m055 file0_rs0_skip0 stages2
1116p290 file0_rs0_skip0 stages5
1880p112 file0_rs0_skip0 stages2
1695m067 file0_rs0_skip0 stages2
1585m032 file0_rs0_skip0 stages2
0687m245 file0_rs0_skip0 stages1
1274p137 file0_rs0_skip0 stages5
3253m015 file0_rs0_skip0 stages5
0233p205 file0_rs0_skip0 stages8
0287p182 file0_rs0_skip0 stages5
2258p027 file0_rs0_skip0 stages2
2439p082 file0_rs0_skip0 stages8
2320p252 file0_rs0_skip0 stages8
0003p145 file0_rs0_skip0 stages5
0285p317 file0_rs0_skip0 stages5
0204p305 file0_rs0_skip0 stages8
3236m020 file0_rs0_skip0 stages3
3314m062 file0_rs0_skip0 stages5
0314p297 file0_rs0_skip0 stages4
1506m080 file0_rs0_skip0 stages2
1668m067 file0_rs0_skip0 stages2
1518m017 file0_rs0_skip0 stages2
1716p052 file0_rs0_skip0 stages2
1384m107 file0_rs0_skip0 stages2
3388m097 file0_rs0_skip0 stages8
0237p135 file0_rs0_skip0 stages8
0469m035 file0_rs0_skip0 stages10
1421p070 file0_rs0_skip0 stages2
1548m245 file0_rs0_skip0 stages2
2346p207 file0_rs0_skip0 stages8
0166p320 file0_rs0_skip0 stages1
0105p305 file0_rs0_skip0 stages7
0508m097 file0_rs0_skip0 stages1
3381m002 file0_rs0_skip0 stages3
2313p020 file0_rs0_skip0 stages3
3366p267 file0_rs0_skip0 stages3
3322p200 file0_rs0_skip0 stages5
2453p210 file0_rs0_skip0 stages5
1453m002 file0_rs0_skip0 stages2
3438p037 file0_rs0_skip0 stages1
3281p070 file0_rs0_skip0 stages1
3513p040 file0_rs0_skip0 stages1
1113p250 file0_rs0_skip0 stages5
3480p325 file0_rs0_skip0 stages1
2343p055 file0_rs0_skip0 stages8
2612p217 file0_rs0_skip0 stages3
3325p145 file0_rs0_skip0 stages3
0574m147 file0_rs0_skip0 stages1
3400p142 file0_rs0_skip0 stages1
2449p247 file0_rs0_skip0 stages1
3577p332 file0_rs0_skip0 stages1
1461m172 file0_rs0_skip0 stages2
3398p260 file0_rs0_skip0 stages1
0092p322 file0_rs0_skip0 stages5
2453p227 file0_rs0_skip0 stages5
3128m120 file0_rs0_skip0 stages5
2443p050 file0_rs0_skip0 stages1
2535p135 file0_rs0_skip0 stages3
0802m187 file0_rs0_skip0 stages3
3258p080 file0_rs0_skip0 stages1
0146p290 file0_rs0_skip0 stages7
2489p035 file0_rs0_skip0 stages1
1509m210 file0_rs0_skip0 stages2
1783m082 file0_rs0_skip0 stages2
3361p240 file0_rs0_skip0 stages3
3368p002 file0_rs0_skip0 stages3
2365p047 file0_rs0_skip0 stages8
0448m105 file0_rs0_skip0 stages4
0334p277 file0_rs0_skip0 stages7
0070p300 file0_rs0_skip0 stages5
2496p055 file0_rs0_skip0 stages8
2569p205 file0_rs0_skip0 stages8
3353p015 file0_rs0_skip0 stages3
3133m025 file0_rs0_skip0 stages3
0856m180 file0_rs0_skip0 stages8
3532p197 file0_rs0_skip0 stages1
3322m052 file0_rs0_skip0 stages1
1808m082 file0_rs0_skip0 stages2
2456p015 file0_rs0_skip0 stages5
0141p270 file0_rs0_skip0 stages7
2415p237 file0_rs0_skip0 stages8
3406p307 file0_rs0_skip0 stages1
2680p255 file0_rs0_skip0 stages3
0089p150 file0_rs0_skip0 stages5
0673m007 file0_rs0_skip0 stages1
2445p240 file0_rs0_skip0 stages1
2348p012 file0_rs0_skip0 stages8
1129p172 file0_rs0_skip0 stages8
2173m030 file0_rs0_skip0 stages2
2549p175 file0_rs0_skip0 stages8
0261p160 file0_rs0_skip0 stages7
0700m047 file0_rs0_skip0 stages1
3567p275 file0_rs0_skip0 stages1
0498m165 file0_rs0_skip0 stages4
3390p167 file0_rs0_skip0 stages3
3568p260 file0_rs0_skip0 stages1
3210p040 file0_rs0_skip0 stages5
2498p082 file0_rs0_skip0 stages8
3134m085 file0_rs0_skip0 stages3
2226m127 file0_rs0_skip0 stages2
3516p192 file0_rs0_skip0 stages1
2232m050 file0_rs0_skip0 stages2
3439p322 file0_rs0_skip0 stages1
0016p100 file0_rs0_skip0 stages8
3578p060 file0_rs0_skip0 stages1
3401p335 file0_rs0_skip0 stages3
3581p067 file0_rs0_skip0 stages9
2261m065 file0_rs0_skip0 stages2
0235p280 file0_rs0_skip0 stages5
0443m012 file0_rs0_skip0 stages4
0105p332 file0_rs0_skip0 stages7
3209p195 file0_rs0_skip0 stages3
3251p030 file0_rs0_skip0 stages5
2672p167 file0_rs0_skip0 stages3
0673m100 file0_rs0_skip0 stages1
3300p135 file0_rs0_skip0 stages8
2458p010 file0_rs0_skip0 stages5
3417p060 file0_rs0_skip0 stages1
0101p132 file0_rs0_skip0 stages5
3273p127 file0_rs0_skip0 stages1
3387p327 file0_rs0_skip0 stages3
0251p220 file0_rs0_skip0 stages7
3405p330 file0_rs0_skip0 stages8
3215p140 file0_rs0_skip0 stages3
3551p172 file0_rs0_skip0 stages1
0308p072 file0_rs0_skip0 stages5
3204p182 file0_rs0_skip0 stages3
2743p312 file0_rs0_skip0 stages3
0505m112 file0_rs0_skip0 stages1
1446m005 file0_rs0_skip0 stages2
3138p005 file0_rs0_skip0 stages3
3116p065 file0_rs0_skip0 stages1
0023p227 file0_rs0_skip0 stages7
3547p337 file0_rs0_skip0 stages1
0431p005 file0_rs0_skip0 stages1
0205p252 file0_rs0_skip0 stages8
0317p247 file0_rs0_skip0 stages1
2249m070 file0_rs0_skip0 stages2
2284m070 file0_rs0_skip0 stages2
0656m012 file0_rs0_skip0 stages1
2261m090 file0_rs0_skip0 stages2
3356p250 file0_rs0_skip0 stages3
0462m077 file0_rs0_skip0 stages10
3317p237 file0_rs0_skip0 stages1
0327p232 file0_rs0_skip0 stages8
3148p030 file0_rs0_skip0 stages3
0541p007 file0_rs0_skip0 stages1
3518p250 file0_rs0_skip0 stages1
2229m047 file0_rs0_skip0 stages2
3199p122 file0_rs0_skip0 stages3
3274p170 file0_rs0_skip0 stages8
3377p320 file0_rs0_skip0 stages8
0369p297 file0_rs0_skip0 stages1
2241m065 file0_rs0_skip0 stages2
3271p100 file0_rs0_skip0 stages1
3390p315 file0_rs0_skip0 stages3
3163p017 file0_rs0_skip0 stages3
2391p020 file0_rs0_skip0 stages3
0427p050 file0_rs0_skip0 stages4
3311p227 file0_rs0_skip0 stages3
0220p167 file0_rs0_skip0 stages3
3290p200 file0_rs0_skip0 stages5
0446m020 file0_rs0_skip0 stages10
0349p212 file0_rs0_skip0 stages1
0438p017 file0_rs0_skip0 stages4
3359p312 file0_rs0_skip0 stages1
1152p207 file0_rs0_skip0 stages5
3433p177 file0_rs0_skip0 stages1
3311p230 file0_rs0_skip0 stages5
3354p282 file0_rs0_skip0 stages1
0301p237 file0_rs0_skip0 stages8
0330p335 file0_rs0_skip0 stages8
2363p002 file0_rs0_skip0 stages8
3291p122 file0_rs0_skip0 stages5
3477p142 file0_rs0_skip0 stages1
2540p190 file0_rs0_skip0 stages8
2238m067 file0_rs0_skip0 stages2
2533p192 file0_rs0_skip0 stages1
0707m092 file0_rs0_skip0 stages1
3255p275 file0_rs0_skip0 stages1
2707p197 file0_rs0_skip0 stages3
0591m060 file0_rs0_skip0 stages1
0453m022 file0_rs0_skip0 stages10
3409p082 file0_rs0_skip0 stages3
0330p137 file0_rs0_skip0 stages5
3175p075 file0_rs0_skip0 stages5
3492p232 file0_rs0_skip0 stages1
3354p062 file0_rs0_skip0 stages3
3318p302 file0_rs0_skip0 stages1
2580p105 file0_rs0_skip0 stages1
1248m015 file0_rs0_skip0 stages1
0221p262 file0_rs0_skip0 stages5
1471p000 file0_rs0_skip0 stages2
0721p007 file0_rs0_skip0 stages3
3159p055 file0_rs0_skip0 stages5
2383p012 file0_rs0_skip0 stages8
3100p070 file0_rs0_skip0 stages8
0372p122 file0_rs0_skip0 stages5
3357p067 file0_rs0_skip0 stages3
3598p117 file0_rs0_skip0 stages1
3343m035 file0_rs0_skip0 stages8
0384p192 file0_rs0_skip0 stages7
2552p147 file0_rs0_skip0 stages5
2536p087 file0_rs0_skip0 stages3
2510p067 file0_rs0_skip0 stages3
3160p130 file0_rs0_skip0 stages3
3194p157 file0_rs0_skip0 stages5
0496p010 file0_rs0_skip0 stages10
3259p057 file0_rs0_skip0 stages1
0476p027 file0_rs0_skip0 stages10
3447p130 file0_rs0_skip0 stages1
2733p307 file0_rs0_skip0 stages3
3252p227 file0_rs0_skip0 stages8
2632p147 file0_rs0_skip0 stages1
2720p265 file0_rs0_skip0 stages3
3328p250 file0_rs0_skip0 stages1
0451m030 file0_rs0_skip0 stages4
3180p117 file0_rs0_skip0 stages1
0304p217 file0_rs0_skip0 stages5
3401p087 file0_rs0_skip0 stages3
3369p330 file0_rs0_skip0 stages8
2437p227 file0_rs0_skip0 stages8
2620p077 file0_rs0_skip0 stages8
2496p075 file0_rs0_skip0 stages5
1461p007 file0_rs0_skip0 stages2
3370m035 file0_rs0_skip0 stages3
0674m092 file0_rs0_skip0 stages1
2338m005 file0_rs0_skip0 stages5
3283p152 file0_rs0_skip0 stages1
3125p037 file0_rs0_skip0 stages3
2508p075 file0_rs0_skip0 stages5
3318p115 file0_rs0_skip0 stages1
0361p120 file0_rs0_skip0 stages1
3261p212 file0_rs0_skip0 stages5
3240p187 file0_rs0_skip0 stages5
2557p037 file0_rs0_skip0 stages3
2431p010 file0_rs0_skip0 stages5
3520p300 file0_rs0_skip0 stages1
0159m062 file0_rs0_skip0 stages4
0410p155 file0_rs0_skip0 stages5
2538p047 file0_rs0_skip0 stages3
3468p170 file0_rs0_skip0 stages1
0324p132 file0_rs0_skip0 stages4
3275p150 file0_rs0_skip0 stages1
2386p000 file0_rs0_skip0 stages5
0382p252 file0_rs0_skip0 stages7
2717p250 file0_rs0_skip0 stages8
2720p245 file0_rs0_skip0 stages8
0450p057 file0_rs0_skip0 stages10
0450p060 file0_rs0_skip0 stages7
3580p102 file0_rs0_skip0 stages1
2597p100 file0_rs0_skip0 stages5
3550p277 file0_rs0_skip0 stages1
0276p237 file0_rs0_skip0 stages5
0288p242 file0_rs0_skip0 stages5
0328p227 file0_rs0_skip0 stages5
2624p137 file0_rs0_skip0 stages3
3238p170 file0_rs0_skip0 stages5
3170p117 file0_rs0_skip0 stages5
3545p065 file0_rs0_skip0 stages1
0300p255 file0_rs0_skip0 stages8
2289m032 file0_rs0_skip0 stages2
3449p252 file0_rs0_skip0 stages1
0393p117 file0_rs0_skip0 stages7
2559p152 file0_rs0_skip0 stages3
0385p280 file0_rs0_skip0 stages7
3214m065 file0_rs0_skip0 stages3
3388p047 file0_rs0_skip0 stages1
2463m012 file0_rs0_skip0 stages8
3523p342 file0_rs0_skip0 stages9
0415p150 file0_rs0_skip0 stages5
3146m105 file0_rs0_skip0 stages3
0342p302 file0_rs0_skip0 stages1
0366p245 file0_rs0_skip0 stages5
2583p125 file0_rs0_skip0 stages5
3275p185 file0_rs0_skip0 stages1
3516p317 file0_rs0_skip0 stages1
0360p280 file0_rs0_skip0 stages4
2461m015 file0_rs0_skip0 stages8
0670m097 file0_rs0_skip0 stages1
0713p015 file0_rs0_skip0 stages1
2371p030 file0_rs0_skip0 stages1
2752p277 file0_rs0_skip0 stages3
0208p177 file0_rs0_skip0 stages5
0288p255 file0_rs0_skip0 stages5
3088m007 file0_rs0_skip0 stages3
0074p180 file0_rs0_skip0 stages5
