#stages0 = writecat:docker:DR9.6.7
#stages1 = writecat:docker:DR9.6.4
#stages2 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.7b
#stages3 = srcs:docker:DR9.6.5b writecat:docker:DR9.6.7b
#stages4 = srcs:docker:DR9.6.5 writecat:docker:DR9.6.5b
#stages5 = writecat:docker:DR9.6.5b
#stages6 = writecat:docker:DR9.6.5
0585m277 file0_rs0_skip0 stages0
0687m245 file0_rs0_skip0 stages0
0443m012 file0_rs0_skip0 stages3
3116p065 file0_rs0_skip0 stages0
0369p297 file0_rs0_skip0 stages0
0220p167 file0_rs0_skip0 stages2
3359p312 file0_rs0_skip0 stages0
3354p282 file0_rs0_skip0 stages0
2580p105 file0_rs0_skip0 stages0
3598p117 file0_rs0_skip0 stages0
2632p147 file0_rs0_skip0 stages0
3328p250 file0_rs0_skip0 stages0
0451m030 file0_rs0_skip0 stages3
3180p117 file0_rs0_skip0 stages0
0159m062 file0_rs0_skip0 stages3
2624p137 file0_rs0_skip0 stages2
3214m065 file0_rs0_skip0 stages2
0208p177 file0_rs0_skip0 stages4
3088m007 file0_rs0_skip0 stages2
2576p085 file0_rs0_skip0 stages2
0377p205 file0_rs0_skip0 stages5
3258p160 file0_rs0_skip0 stages0
3190m072 file0_rs0_skip0 stages2
0572m032 file0_rs0_skip0 stages0
2722p262 file0_rs0_skip0 stages2
3119p055 file0_rs0_skip0 stages2
0631m015 file0_rs0_skip0 stages0
2523p045 file0_rs0_skip0 stages0
3263p177 file0_rs0_skip0 stages4
3220p125 file0_rs0_skip0 stages2
0399p105 file0_rs0_skip0 stages5
3392p075 file0_rs0_skip0 stages2
0550m162 file0_rs0_skip0 stages0
2520p045 file0_rs0_skip0 stages4
0499p035 file0_rs0_skip0 stages0
0382p182 file0_rs0_skip0 stages5
0401p135 file0_rs0_skip0 stages5
0257p235 file0_rs0_skip0 stages0
2602p110 file0_rs0_skip0 stages4
3571p065 file0_rs0_skip0 stages0
0422p135 file0_rs0_skip0 stages5
2571p070 file0_rs0_skip0 stages2
0549m167 file0_rs0_skip0 stages0
0611m027 file0_rs0_skip0 stages0
2377p035 file0_rs0_skip0 stages4
3288m012 file0_rs0_skip0 stages4
2256m032 file0_rs0_skip0 stages1
3520p335 file0_rs0_skip0 stages0
0397p137 file0_rs0_skip0 stages5
3254p167 file0_rs0_skip0 stages0
2545p095 file0_rs0_skip0 stages0
3392p077 file0_rs0_skip0 stages2
0557m170 file0_rs0_skip0 stages0
2587p090 file0_rs0_skip0 stages4
0548m010 file0_rs0_skip0 stages0
0207p167 file0_rs0_skip0 stages6
2481m015 file0_rs0_skip0 stages4
3487p197 file0_rs0_skip0 stages0
0394p257 file0_rs0_skip0 stages5
2286m030 file0_rs0_skip0 stages1
3483p240 file0_rs0_skip0 stages0
3440p257 file0_rs0_skip0 stages0
2603p130 file0_rs0_skip0 stages2
0442p050 file0_rs0_skip0 stages3
3451p210 file0_rs0_skip0 stages0
0662m082 file0_rs0_skip0 stages0
0402p082 file0_rs0_skip0 stages5
0413p112 file0_rs0_skip0 stages4
0392p242 file0_rs0_skip0 stages5
3195m080 file0_rs0_skip0 stages4
0675m140 file0_rs0_skip0 stages0
0394p210 file0_rs0_skip0 stages5
3259p230 file0_rs0_skip0 stages2
